Captured Time,Latitude,Longitude,Value,Unit,Device ID
2025-04-10 01:40:56,34.48268,136.16316,55.0,cpm,65002.0
2025-04-10 01:39:46,51.0634,11.7586,17.0,cpm,209.0
2025-04-10 01:39:21,42.4347,-87.9012,15.0,cpm,216.0
2025-04-10 01:39:35,42.4347,-87.9012,13.0,cpm,216.0
2025-04-10 01:39:33,51.9807,9.2345,14.0,cpm,108.0
2025-04-10 01:40:11,35.615814,139.625711,0.0,cpm,100182.0
2025-04-10 01:40:08.087,38.3151,-123.0752,77.0,cpm,201051.0
2025-04-10 01:40:07,35.615814,139.625711,52.0,cpm,100181.0
2025-04-10 01:40:05,34.48253,136.16301,37.0,cpm,62007.0
2025-04-10 01:40:03,37.4932,139.93305,46.0,cpm,101.0
2025-04-10 01:39:00,52.4276,4.9711,17.0,cpm,205.0
2025-04-10 01:40:00,34.48265,136.16314,40.0,cpm,65006.0
2025-04-10 01:39:57,34.995197,135.764331,41.0,cpm,74.0
2025-04-10 01:39:54,43.8282,-79.01145,19.0,cpm,63209.0
2025-04-10 01:39:54.184,43.6045,1.444,20.0,cpm,238.0
2025-04-10 01:39:49,37.54562,140.398995,16.0,cpm,100242.0
2025-04-10 01:39:49,37.54562,140.398995,45.0,cpm,100241.0
2025-04-10 01:38:42,51.0634,11.7586,15.0,cpm,209.0
2025-04-10 01:39:38,37.7233303,140.4767968,11.0,cpm,100422.0
2025-04-10 01:38:31,42.4347,-87.9012,20.0,cpm,216.0
2025-04-10 01:39:34,37.366713,140.53097,15.0,cpm,100072.0
2025-04-10 01:39:34,37.366713,140.53097,1.0,cpm,100071.0
2025-04-10 01:38:32,51.9807,9.2345,14.0,cpm,108.0
2025-04-10 01:39:31,37.7233303,140.4767968,33.0,cpm,100421.0
2025-04-10 01:38:15,42.4347,-87.9012,21.0,cpm,216.0
2025-04-10 01:39:12,31.833193,130.301922,16.0,cpm,100222.0
2025-04-10 01:39:11,31.833193,130.301922,31.0,cpm,100221.0
2025-04-10 01:39:10,35.74591,139.91815,11.0,cpm,100162.0
2025-04-10 01:39:10,35.74591,139.91815,34.0,cpm,100161.0
2025-04-10 01:39:08,37.21798,141.00097,12.0,cpm,100302.0
2025-04-10 01:39:08,37.21798,141.00097,40.0,cpm,100301.0
2025-04-10 01:39:05,34.48253,136.163,39.0,cpm,62007.0
2025-04-10 01:39:03.123,38.3151,-123.0752,68.0,cpm,201051.0
2025-04-10 01:39:01,37.056757,-122.138333,45.0,cpm,178.0
2025-04-10 01:37:59,52.4276,4.9711,18.0,cpm,205.0
2025-04-10 01:38:55,36.99371,-121.59222,25.0,cpm,65050.0
2025-04-10 01:38:47,37.0105,140.9253,13.0,cpm,100332.0
2025-04-10 01:38:47,42.360781,-71.087719,19.0,cpm,200082.0
2025-04-10 01:38:47,42.360781,-71.087719,52.0,cpm,200081.0
2025-04-10 01:38:46,37.0105,140.9253,34.0,cpm,100331.0
2025-04-10 01:37:40,51.0634,11.7586,16.0,cpm,209.0
2025-04-10 01:38:39,44.10849,-78.7524,25.0,cpm,62106.0
2025-04-10 01:37:31,51.9807,9.2345,14.0,cpm,108.0
2025-04-10 01:37:31,42.4347,-87.9012,96.0,cpm,216.0
2025-04-10 01:38:23,45.60197,9.31745,46.0,cpm,65109.0
2025-04-10 01:37:07,42.4347,-87.9012,1246.0,cpm,216.0
2025-04-10 01:38:06.314,37.442836,-122.128094,7.0,cpm,106.0
2025-04-10 01:38:06.321,37.442836,-122.128094,32.0,cpm,107.0
2025-04-10 01:38:05,34.48249,136.16303,60.0,cpm,62007.0
2025-04-10 01:36:58,52.4276,4.9711,23.0,cpm,205.0
2025-04-10 01:37:58.05,38.3151,-123.0752,74.0,cpm,201051.0
2025-04-10 01:37:51.939,43.6045,1.444,23.0,cpm,238.0
2025-04-10 01:36:38,51.0634,11.7586,14.0,cpm,209.0
2025-04-10 01:36:24,42.4347,-87.9012,14.0,cpm,216.0
2025-04-10 01:36:30,51.9807,9.2345,15.0,cpm,108.0
2025-04-10 01:37:18,37.796306,140.514413,16.0,cpm,100412.0
2025-04-10 01:37:11,37.796306,140.514413,53.0,cpm,100411.0
2025-04-10 01:36:03,42.4347,-87.9012,12.0,cpm,216.0
2025-04-10 01:37:05,34.48253,136.1631,45.0,cpm,62007.0
2025-04-10 01:36:57,43.88204,-78.94496,19.0,cpm,65049.0
